Slug,Start date,End date,Organiser,Exhibitor,Delegation,Website,Alias
edex-2023,2023-12-04,2023-12-07,1,,,https://www.egyptdefenceexpo.com,Egypt Defence Expo 2023
,,,,,,,
eurosatory-2000,2000-06-19,2000-06-23,,832,,http://www.eurosatory.com,
eurosatory-2002,2002-06-17,2002-06-21,,,,http://www.eurosatory.com,
eurosatory-2004,2004-06-14,2004-06-18,1,965,,http://www.eurosatory.com,International Military International Exhibition for Land and Land-air Defence
eurosatory-2006,2006-06-16,2006-06-20,2,,71,http://www.eurosatory.com,
eurosatory-2008,2008-06-16,2008-06-20,2,1156,102,http://www.eurosatory.com,
eurosatory-2010,2010-06-14,2010-06-18,,1313,,http://www.eurosatory.com,
eurosatory-2012,2012-06-11,2012-06-15,2,1450,,http://www.eurosatory.com,
eurosatory-2014,2014-06-16,2014-06-20,2,1205,104,http://www.eurosatory.com,
eurosatory-2016,2016-07-13,2016-07-17,2,1549,89,http://www.eurosatory.com,
eurosatory-2018,2018-06-11,2018-06-15,3,1761,,http://www.eurosatory.com,
eurosatory-2022,2022-07-13,2022-07-17,2,1173,,http://www.eurosatory.com,
,,,,,,,
farnborough-2000,2000-07-24,2000-07-30,,1319,,http://www.farnborough.com,Farnborough International Airshow 2000;FIA 2000
farnborough-2002,2002-07-22,2002-07-28,,1259,,http://www.farnborough.com,Farnborough International Airshow 2002;FIA 2002
farnborough-2004,2004-07-19,2004-07-25,,1368,44,http://www.farnborough.com,Farnborough International Airshow 2004;FIA 2004
farnborough-2006,2006-07-17,2006-07-23,,1487,44,http://www.farnborough.com,Farnborough International Airshow 2006;FIA 2006
farnborough-2008,2008-07-14,2008-07-20,,,,http://www.farnborough.com,Farnborough International Airshow 2008;FIA 2008
farnborough-2010,2010-07-19,2010-07-25,,1236,37,http://www.farnborough.com,Farnborough International Airshow 2010;FIA 2010
farnborough-2012,2012-07-09,2012-07-13,,1309,39,http://www.farnborough.com,Farnborough International Airshow 2012;FIA 2012
farnborough-2014,2014-07-19,2014-07-20,,1213,40,http://www.farnborough.com,Farnborough International Airshow 2014;FIA 2014
farnborough-2016,2016-07-11,2016-07-17,,1222,41,http://www.farnborough.com,Farnborough International Airshow 2016;FIA 2016
farnborough-2018,2018-07-16,2018-07-22,,1482,60,https://www.farnboroughairshow.com/,Farnborough International Airshow 2018;FIA 2018
farnborough-2022,2022-07-18,2022-07-22,,716,,https://www.farnboroughairshow.com/,Farnborough International Airshow 2022;FIA 2022
,,,,,,,
feindef-2019,2019-05-29,2019-05-31,1,145,32,https://www.feindef.com/,
feindef-2021,2021-11-03,2021-11-05,,113,,http://feindef.com/,
feindef-2023,2023-05-17,2023-05-19,,,,http://feindef.com/,
,,,,,,,
fidae-1980,1980-03-21,1980-03-30,,,,http://www.fidaegroup.cl/fida-1980,FIDA;Feria Internacional del Aire
fidae-1982,1982-03-05,1982-03-14,,,,http://www.fidaegroup.cl/fida-1982/,FIDA;Feria Internacional del Aire
fidae-1984,1984-03-03,1984-03-10,,,,http://www.fidaegroup.cl/fida-1984,FIDA;Feria Internacional del Aire
fidae-1986,1986-03-09,1986-03-16,,,,http://www.fidaegroup.cl/fida-1986/,FIDA;Feria Internacional del Aire
fidae-1988,1988-03-14,1988-03-20,,,,http://www.fidaegroup.cl/fida-1988,FIDA;Feria Internacional del Aire
fidae-1990,1990-03-25,1990-04-01,,,,http://www.fidaegroup.cl/fidae-1990/,Feria Internacional del Aire y del Espacio
fidae-1992,1992-03-08,1992-03-15,,,,http://www.fidaegroup.cl/fidae-1992 https://www.chilecollector.com/archwebfila03/archwebstamp1500/stampset1565.html,Feria Internacional del Aire y del Espacio
fidae-1994,1994-03-20,1994-03-27,,,,http://www.fidaegroup.cl/fidae-1994,Feria Internacional del Aire y del Espacio
fidae-1996,1996-03-10,1996-03-17,,,,http://www.fidaegroup.cl/fidae-1996,Feria Internacional del Aire y del Espacio
fidae-1998,1998-03-23,1998-03-29,,,,http://www.fidaegroup.cl/fidae-1998/,Feria Internacional del Aire y del Espacio
fidae-2000,2000-03-27,2000-04-03,1,,,http://www.fidaegroup.cl/fidae-2000,Feria Internacional del Aire y del Espacio
fidae-2002,2002-04-01,2002-04-07,,223,,http://www.fidaegroup.cl/fidae-2002,Feria Internacional del Aire y del Espacio
fidae-2004,2004-09-29,2004-10-04,,248,,http://www.fidae.cl/form/boletin2.pdf,Feria Internacional del Aire y del Espacio
fidae-2006,2006-03-27,2006-04-02,,387,,http://fidae.cl/ http://www.fidaegroup.cl/fidae-2006/,Feria Internacional del Aire y del Espacio
fidae-2008,2008-03-31,2008-04-06,,429,,http://fidae.cl/ http://www.fidaegroup.cl/fidae-2008/,Feria Internacional del Aire y del Espacio
fidae-2010,2010-03-23,2010-03-28,,,,http://www.fidae.cl/portal_fidae.aspx http://www.fidaegroup.cl/fidae-2010,Feria Internacional del Aire y del Espacio
fidae-2012,2012-03-27,2012-04-01,,,,http://fidae.cl/portal_fidae.aspx http://www.fidaegroup.cl/fidae-2012,Feria Internacional del Aire y del Espacio
fidae-2014,2014-03-25,2014-03-30,,,,http://www.fidae.cl/es/web/exhibicion-comercial http://www.fidaegroup.cl/fidae-2014/,Feria Internacional del Aire y del Espacio
fidae-2016,2016-03-29,2016-04-03,,236,,http://www.fidae.cl/,Feria Internacional del Aire y del Espacio
fidae-2018,2018-04-03,2018-04-08,,454,,https://www.fidae.cl,
fidae-2022,2022-04-05,2022-04-10,1,415,,https://www.fidae.cl,
,,,,,,,
